2025-06-11 08:42:58,466 INFO    MainThread:3368918 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_setup.py:_flush():68] Configure stats pid to 3368918
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_setup.py:_flush():68] Loading settings from /home/xxw/.config/wandb/settings
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_setup.py:_flush():68] Loading settings from /data2/xxw_data/projects/LLM/Diffusive-Latent-CoT/wandb/settings
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_init.py:_log_setup():528] Logging user logs to /data2/xxw_data/projects/LLM/Diffusive-Latent-CoT/wandb/offline-run-20250611_084258-eeyq92j9/logs/debug.log
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_init.py:_log_setup():529] Logging internal logs to /data2/xxw_data/projects/LLM/Diffusive-Latent-CoT/wandb/offline-run-20250611_084258-eeyq92j9/logs/debug-internal.log
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_init.py:init():639] calling init triggers
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {'batch_size': 128, 'grad_accumulation_steps': 1, 'epochs': 10, 'learning_rate': 0.0001}
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_init.py:init():688] starting backend
2025-06-11 08:42:58,467 INFO    MainThread:3368918 [wandb_init.py:init():692] sending inform_init request
2025-06-11 08:42:58,470 INFO    MainThread:3368918 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-11 08:42:58,471 INFO    MainThread:3368918 [wandb_init.py:init():705] backend started and connected
2025-06-11 08:42:58,476 INFO    MainThread:3368918 [wandb_init.py:init():798] updated telemetry
2025-06-11 08:42:58,482 INFO    MainThread:3368918 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2025-06-11 08:42:58,696 INFO    MainThread:3368918 [wandb_init.py:init():882] starting run threads in backend
2025-06-11 08:42:58,802 INFO    MainThread:3368918 [wandb_run.py:_console_start():2443] atexit reg
2025-06-11 08:42:58,802 INFO    MainThread:3368918 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2025-06-11 08:42:58,803 INFO    MainThread:3368918 [wandb_run.py:_redirect():2358] Wrapping output streams.
2025-06-11 08:42:58,803 INFO    MainThread:3368918 [wandb_run.py:_redirect():2383] Redirects installed.
2025-06-11 08:42:58,804 INFO    MainThread:3368918 [wandb_init.py:init():925] run started, returning control to user process
